[2016-07-13 12:37:00] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/catalog/category/save/key/89a1251587bbeefeb3bb9409143f7b5d6d18217f2c22293cdab7e969a59e7d8c/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 12:37:00] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/catalog/category/save/key/89a1251587bbeefeb3bb9409143f7b5d6d18217f2c22293cdab7e969a59e7d8c/","invalidateInfo":{"tags":["catalog_category_product_42","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:06:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/index/index/key/124d43997fe063e59cec647630f5c9d192047b80de21752f5d4ff067b5c8ae7a/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-13 13:07:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/e1dc50a38863758409db9818ff33306e9d95c49354c30902dc066ec26dbe45bf/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2016-07-13 13:07:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/e1dc50a38863758409db9818ff33306e9d95c49354c30902dc066ec26dbe45bf/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2016-07-13 13:07:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/e1dc50a38863758409db9818ff33306e9d95c49354c30902dc066ec26dbe45bf/","invalidateInfo":{"tags":["store_group_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:07:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/e1dc50a38863758409db9818ff33306e9d95c49354c30902dc066ec26dbe45bf/","invalidateInfo":{"tags":["store_group_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:07:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/e1dc50a38863758409db9818ff33306e9d95c49354c30902dc066ec26dbe45bf/","invalidateInfo":{"tags":["store_group_1"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:07:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/e1dc50a38863758409db9818ff33306e9d95c49354c30902dc066ec26dbe45bf/","invalidateInfo":{"tags":["store_relations","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:07:53] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://magento2.local.com/zpanel/admin/cache/index/key/0f3b59abc86a377788a09f40505ba9161c64b8b6dcdad9cfd36c38b371627602/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/cache/massRefresh/key/e5fefdf47fde21a59053f9bbdd4d4df55fd988149204e61583007a32871a1bba/","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:09:08] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://magento2.local.com/zpanel/admin/cache/index/key/0f3b59abc86a377788a09f40505ba9161c64b8b6dcdad9cfd36c38b371627602/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:10:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/3083130a7a1ade3ee619d138934b3b6aaa843aeaf29a83731d998066f6bfdf72/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2016-07-13 13:10:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/3083130a7a1ade3ee619d138934b3b6aaa843aeaf29a83731d998066f6bfdf72/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2016-07-13 13:10:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/3083130a7a1ade3ee619d138934b3b6aaa843aeaf29a83731d998066f6bfdf72/","invalidateInfo":{"tags":["store_group_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:10:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/3083130a7a1ade3ee619d138934b3b6aaa843aeaf29a83731d998066f6bfdf72/","invalidateInfo":{"tags":["store_group_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:10:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/3083130a7a1ade3ee619d138934b3b6aaa843aeaf29a83731d998066f6bfdf72/","invalidateInfo":{"tags":["store_group_1"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:10:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_store/save/key/3083130a7a1ade3ee619d138934b3b6aaa843aeaf29a83731d998066f6bfdf72/","invalidateInfo":{"tags":["store_relations","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:10:52] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://magento2.local.com/zpanel/catalog/category/index/key/d0cb2086759ee1080a8ad96d5b009611b5c1feeb43c372f00983b5bb19bb0112/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 13:21:15] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/index/index/key/6018151199dfb377e236c1eb1626b528303629d4fd0cd0be9808a4fbeed1b969/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-13 13:56:37] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://magento2.local.com/zpanel/catalog/product/new/set/4/type/simple/key/c7a79922364cac6440332d8fe7b36cc37df6b45c3681a05eba0ad279565ce352/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
